SKU,item,categoria,descricao,preco,status,classificacao_adicional,observacoes,foto_url
0001,X-Tudo,bebidas_com_cafe,"Extração intensa realçando a oleosidade do café, Extração intensa realçando a oleosidade do café, Extração intensa realçando a oleosidade do café",33,Ativo,,200ml,https://drive.google.com/file/d/1WkdZ5afiUvASk6qaRBdVclhtRCa7w-2n/view?usp=sharing
0002,Pizza de Calabresa,bebidas_com_cafe,Massa artesanal assada em forno a lenha,"Tamanhos#Pequena:23,50/Média:30/Grande:45,60",Ativo,,,https://drive.google.com/file/d/1e5fDx0pMb2Y0FR2WsLRwCWmC2lT1VPz9/view?usp=sharing
0003,AeroPress,bebidas_com_cafe,Bebida aromática e corpo equilibrado,12,Ativo,,200ml,https://drive.google.com/file/d/1dXbqjUAZQADSlRdqWz3AaKhcPVAqExr7/view?usp=drive_link
0004,Cappuccino Cremoso,bebidas_com_cafe,Clássico italiano com espuma cremosa,,Ativo,,180ml<br>230ml,https://drive.google.com/file/d/1sAtXGGCFrbMdEElBqHvoT97wZQlPXxf9/view?usp=drive_link
0005,Latte Macchiato,bebidas_com_cafe,Café suave com toque de leite vaporizado,11,Ativo,,500ml,https://drive.google.com/file/d/1s6rXaYV_-dJISuUVoTAvdb13TLF8hVGN/view?usp=drive_link
0006,Pipoca,bebidas_com_cafe,Equilíbrio perfeito entre café e leite,,Ativo,,180ml,https://drive.google.com/file/d/1fxjDnMDtsF6MYclUTNKef4_lr4X3HzXq/view?usp=drive_link
0007,Café Coado,bebidas_com_cafe,"Tradição brasileira, aroma intenso","15,00",Ativo,,200ml,https://drive.google.com/file/d/1IMrAtlxLXvshzN7oNoAi7aUeoI__gdl4/view?usp=drive_link
0008,Affogato,bebidas_com_cafe,Espresso servido sobre sorvete de creme,"19,00",Ativo,,180ml,https://drive.google.com/file/d/1ZfoXfCAo5u4l4hDRlyyUE2cA2HD3kgI6/view?usp=drive_link
0009,MilkShake,bebidas_geladas,"Extração a frio, sabor refrescante","17,00",Ativo,,300ml,https://drive.google.com/file/d/1sndJu0-w1nRIpRhFWHW-CpSOz7pscsOq/view?usp=sharing
0010,Iced Matcha,bebidas_geladas,Chá verde gelado com toque cítrico,"20,00",Ativo,,300ml,https://drive.google.com/file/d/16Zx4EKZk6LJfFTTGRosdpQuHaJfPACSL/view?usp=drive_link
0011,Limonada Siciliana,bebidas_geladas,"Refrescante, toque de limão siciliano","14,00",Ativo,,300ml,https://drive.google.com/file/d/1LbVo9v3EZ2XjexK8tS8mr5YhmFBrx9ur/view?usp=drive_link
0012,Smoothie de Frutas,bebidas_geladas,Cremoso e refrescante,"16,00",Ativo,,300ml,https://drive.google.com/file/d/1RyruECvxaOUbRArDaL1ld_xalWYGtXQl/view?usp=drive_link
0013,Matcha Latte,bebidas_geladas,Chá verde premium com leite vaporizado,"22,00",Ativo,,250ml,https://drive.google.com/file/d/13N26XdXpkJGBYTnGuishv48vqcHhgSJT/view?usp=drive_link
0014,Chocolate Quente,chocolates,Cremoso e reconfortante,"16,00",Ativo,,200ml,https://drive.google.com/file/d/1L8bj6kaaPGW3NEHt0aIcs70RGMfErrXF/view?usp=drive_link
0015,Mocha,chocolates,Perfeito equilíbrio entre café e chocolate,"21,00",Ativo,,200ml,https://drive.google.com/file/d/1ebeyCi_NvbziM_QlGXYtnJmbJqu1AJrT/view?usp=drive_link
0016,Bolo de Cenoura,sobremesas,Bolo macio com cobertura de chocolate,"12,00",Ativo,,1 fatia,https://drive.google.com/file/d/1dz-xCFr8G3gw5u7DRw6-Af4bm2Kcb3DD/view?usp=drive_link
0017,Torta Banoffee,sobremesas,"Banana, doce de leite e chantilly","18,00",Ativo,,1 fatia,https://drive.google.com/file/d/1DzvHCqQsjuBwieE8AoKuc38cvtQj2R0J/view?usp=drive_link
0018,Cookie Artesanal,sobremesas,"Chocolate meio amargo, textura macia","9,00",Ativo,,1 un,https://drive.google.com/file/d/1HppjRxxM6U-CWi2S8QgzYdzcN7gkUB8_/view?usp=drive_link
0019,Muffin Blueberry,sobremesas,Massa macia com mirtilos frescos,"10,00",Ativo,,1 un,https://drive.google.com/file/d/1mLr2ZzQQRGm84PWX4u6mERyiZ61gS2_0/view?usp=drive_link
0020,Salada de Frutas,sobremesas,Mix fresco de frutas da estação,"14,00",Ativo,,1 porção,https://drive.google.com/file/d/1hofI3QqnUL3req0qMMclSXNE6YPQ-v8p/view?usp=drive_link
0021,Torrada Petrópolis,salgados,Clássica e amanteigada,"8,00",Ativo,,2 fatias,https://drive.google.com/file/d/1ZhyQf4-k60QHBKgrwldlyQU8ES-Ujtcx/view?usp=drive_link
0022,Croissant,salgados,Massa folhada crocante e amanteigada,"14,00",Ativo,,1 un,https://drive.google.com/file/d/11BvfhMSFAQr9Sc8VSmkEe3hkjwl7K7CN/view?usp=drive_link
0023,Tapioca Doce,salgados,Tradicional com coco e leite condensado,"11,00",Ativo,,1 un,https://drive.google.com/file/d/1cqRDq4XfZZU6-OmiG5rhDb5iy85gDvJB/view?usp=drive_link
0024,Sanduíche Caprese,salgados,"Pão artesanal, tomate, queijo, pesto","22,00",Ativo,,1 un,https://drive.google.com/file/d/1r-oL5O2mXLOG-3DeqYHuJeuAZMbtYGnO/view?usp=drive_link
0025,Pão de Queijo,salgados,"Clássico mineiro, crocante e macio","6,00",Ativo,,6 un,https://drive.google.com/file/d/1DOFPbs3HRFmkN5g8lZNj4sv4y2czSX92/view?usp=drive_link
0026,Sanduíche de Pastrami,salgados,Pão de fermentação natural e pastrami,"24,00",Ativo,,1 un,https://drive.google.com/file/d/1eYFYjTYSwr3jLSbfFoG5p9OmutLt5ITi/view?usp=drive_link
0027,Bagel com Cream Cheese,salgados,"Tradicional americano, cream cheese cremoso","16,00",Ativo,,1 un,https://drive.google.com/file/d/1aj28T7KRLI_f4aSWm_zG154tv5qtVHvX/view?usp=drive_link
0028,Quiche de Alho-Poró,salgados,"Leve, com massa amanteigada e recheio cremoso","18,00",Ativo,,1 fatia,https://drive.google.com/file/d/1EnperNGRkFq-ETp38IUYetpNPiEy6XhY/view?usp=drive_link
0029,Empada de Frango,salgados,Recheio caseiro e massa macia,"9,00",Ativo,,1 un,https://drive.google.com/file/d/1XLQlpgU9yt_NDpXbQYmMHrfedfypERnD/view?usp=drive_link
0030,Tostex Misto,salgados,Clássico misto-quente com queijo derretido,"12,00",Ativo,,1 un,https://drive.google.com/file/d/15OVv38G2GIptqqdZgGvnTpPGhs8CD9CD/view?usp=drive_link